user_id	smiles	start_time	end_time	undos	rubs
24	C1(=CC=CC(F)=C1)C(=O)C(F)(F)F	2017-03-10 14:52:02	2017-03-10 14:52:33	0	0
24	C(C1CO1)1=CC=CC=C1	2017-03-10 14:52:31	2017-03-10 14:52:53	3	0
24	C(F)1=C(F)C(F)=C(F)C(F)=C1B(C(=O)C(=O)O)C(=O)C(=O)O	2017-03-10 14:52:45	2017-03-10 14:54:49	0	0
24	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	2017-03-10 14:55:04	2017-03-10 14:55:51	0	0
24	O1C=CC=C1COCC1=CC=CO1	2017-03-10 14:56:07	2017-03-10 14:56:44	2	0
26	[C@@H](C1CCCCC(=O)NC1)1CCC2(CCC[C@@H]2CCCN)C1.[H]Cl	2017-03-13 21:00:01	2017-03-13 21:00:23	0	3
26	N1O/C(=C(\\C2CC=C(Cl)C2)/C2=CC=CC=C2)/C1	2017-03-13 21:00:34	2017-03-13 21:01:24	0	0
26	O1N=C(CP(CCCC)(CCCC)=O)C=C1	2017-03-13 21:01:25	2017-03-13 21:04:04	0	1
26	N(C1=CC2N=CN=C2C=C1)NC1CCC2C(=O)C2C1	2017-03-13 21:09:15	2017-03-13 21:11:08	0	1
26	C1(/C=C\\C/C=C\\S/C=C/1)B1CC(C)(C)C(C)(C)C1	2017-03-13 21:11:49	2017-03-13 21:14:03	0	7
26	[Co]12345(C6=C1C2=C3C4=C65)12345C6=C1C2=C3C4=C65	2017-03-13 21:14:21	2017-03-13 21:15:22	0	0
26	[*]N1OC1*CCCCCCCCCCCP(=O)=O	2017-03-13 21:15:38	2017-03-13 21:17:22	0	0
26	C1=CC=CC2C(C3=CC=CC=C3)C(/C=C(\\[*])/C3=CC=CC=C3)C1=2	2017-03-13 21:17:36	2017-03-13 21:19:09	0	0
26	P1OC(CCC)(CC2CCCCCC2)C1(C(OCC)=O)C(=O)OCC	2017-03-13 21:33:42	2017-03-13 21:33:51	2	0
27	C1=CC=CC2=CC(C)=C(C)C(CCCC)=C12	2017-03-13 21:52:11	2017-03-13 21:54:45	0	0
27	C1=C2OCOC2=CC=C1CC(C)NC	2017-03-13 21:54:46	2017-03-13 21:59:51	10	9
27	C(=C)C(=O)CC1N=NC(C(C)(C)C)=N1	2017-03-13 22:01:15	2017-03-13 22:02:25	3	0
27	C(C(C)(C)C)1=C(C#CC(C)(C)C)C=C(C(C)C)C=C1C#CC(C)(C)C	2017-03-13 22:02:49	2017-03-13 22:04:23	7	0
27	C(C(C)(C)C)1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1	2017-03-13 22:05:05	2017-03-13 22:05:34	3	0
27	C(/C=C/C)1=CC=CC=C1	2017-03-13 22:05:35	2017-03-13 22:07:02	4	6
27	C(C)1=C(N=O)C=CC=C1[N+](=O)=O	2017-03-13 22:07:03	2017-03-13 22:08:13	2	0
27	CC(=C)/C=C/C=C/C(=C)C	2017-03-13 22:08:14	2017-03-13 22:08:47	0	0
27	C(/N=N)1\\C(\\N=N)=C(\\N=N)/C(/N=N)=C(/N=N)\\C(\\N=N)=C(\\N=N)/C=1/N=N	2017-03-13 22:08:58	2017-03-13 22:10:02	1	0
27	C1=CC=CC=C1CC(C)NC	2017-03-13 22:10:59	2017-03-13 22:14:28	2	0
